gradyear,NumberOffriends,basketball,football,soccer,softball,volleyball,swimming,cheerleading,baseball,tennis,sports,dance,band,marching,music,rock,hair,dress,blonde,clusters,cluster
2007,49,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,41,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,4,0,0,1,1
2006,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,1,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,5,0,0,1,1
2008,32,0,5,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1
2006,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0
2006,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,37,0,1,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1
2009,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008,0,0,0,0,0,3,2,0,0,0,1,1,0,0,2,3,4,0,1,1,1
2006,48,0,1,0,0,0,0,0,3,3,0,0,1,0,2,0,2,0,0,1,1
2006,86,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,0,0,0
2007,93,1,0,0,0,2,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1
2007,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,64,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
2009,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,16,0,0,0,0,0,1,0,0,0,0,0,0,0,2,6,0,0,0,1,1
2007,36,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0
2007,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
2008,15,0,2,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
2009,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2007,39,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2007,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2006,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2006,162,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
2007,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2007,70,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,21,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,0,0,0,0
